helping,title,eventtitle,identifier,arg.type,arg.day,arg.month,arg.calendar,arg.status,arg.statusCount,arg.secDayCount,arg.startYear,arg.stopYear,tag,add.category.COMMA,add.rank,add.locale.COMMA,add.freelocale.COMMA,add.freespecial..COMMA
,Heiligabend,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.christ.greg.christmasEve,greg-christmasEve,fixed,24,12,gregorian,,,,,,religion,christian,3,"de_DE,lv_LV,de_LI","lv_LV,de_LI",de_DE
,Weihnachten oder nachfolgender Montag,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.christ.greg.christmasWeekend,greg-christmas,fixedshifting,25,12,gregorian,,"0,0,0,0,0,2,2",,,,religion,christian,5,"en_GB,en_NZ","en_GB,en_NZ",
,Tag der Erwachsenen,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.jpDayOfAdultsNew,greg-jpDayOfAdultsNew,weekdayly,,1,gregorian,1,2,,2000,,political,,5,ja_JP,ja_JP,
,Rosenmontag,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.christ.greg.rosemonday,greg-roseMonday,easterly,,,gregorian,,-48,,,,culture,,3,de_DE,,
,Frühlingsanfang,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.spring,greg-spring,season,,,gregorian,1,,,,,culture,,5,ja_JP,ja_JP,
,"Matakiri (geschätzt, Neumond nach Aufgang der Plejaden; Neuseeland)",LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.nzMatakiri,greg-nzMatakiri,matariki,,,gregorian,,,,,,culture,,5,en_NZ,en_NZ,
,Herbstsanfang,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.autumn,greg-autumn,seasonshifting,,,gregorian,3,"0,0,0,0,0,0,1",,,,culture,,5,ja_JP,ja_JP,
,Allerheiligen (+),LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.hist.greg.muAllSaintsDay,greg-muAllSaintsDay,fixedmultiyear,1,11,gregorian,2023,2,,,,religion,"christian, catholics",3,"en_MU,mfe_MU","en_MU,mfe_MU",
,Buß und Betttag,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.dayOfPrayerAndRepentance,greg-prayerAndRepentance,fixedrelated,25,12,gregorian,7,-5,-4,,,religion,"christian, lutherans, calvians",5,de_DE,,de_DE
,Totensonntag,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.christ.greg.deadSunday,greg-deadSunday,fixedrelated,25,12,gregorian,7,-5,,,,religion,christian,5,"de_DE,fr_FR","de_DE,fr_FR",
,Präsident Tubman’s Geburtstag (Liberia),LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.greg.lrPresidentTubmansBirthday,greg-lrPresidentTubmansBirthday,fixed,29,11,gregorian,,,,,,political,,5,"en_LR,vai_Latn_LR","en_LR,vai_Latn_LR",
,St Andrew Day,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.hist.greg.sanktAndrewDay,greg-sanktAndrewDay,fixedshifting,30,11,gregorian,,"0,0,0,0,0,2,1",,,,culture,,3,en_GB,,en_GB
,1. Advent,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.christ.greg.firstAdvent,greg-firstAdvent,fixedrelated,25,12,gregorian,7,-4,,,,religion,christian,5,"de_DE,fr_FR",,
,Chin. Neujahr,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.cult.chin.newyear,chin-newYear,fixed,1,1,chinese,,,,,,culture,,5,"en_MU,mfe_MU","en_MU,mfe_MU",
,Vesakh,LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.buddh.indean.vesakh,ind-vesakh,mooninmonth,,5,gregorian,2,1,,,,religion,buddhist,5,,,
,Ramadan (Beginn der Fastenzeit),LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.rel.isl.ramadan,isl-ramadan,fixed,1,9,islamic,,,,,,religion,"islamic, sunnits, schiits",5,,,
,Jüd. Neujahrsfest (Rosch Haschana),LLL:EXT:timer/Resources/Private/Language/locallang_cal.xlf:calendarDate.rel.hebr.roschHaschana,hebr-roschHaschana,fixed,1,1,hebrew,,,,,,culture,jewish,3,he_IL,,
